stadium,home_link,img_link
American Family Field (ex-Miller Park),http://www.andrewclem.com/Baseball/MillerPark.html,http://www.andrewclem.com/Baseball/Diag/MillerPark_barely_open.gif
Angel Stadium,http://www.andrewclem.com/Baseball/AngelStadium.html,http://www.andrewclem.com/Baseball/Diag/AnaheimStadium.gif
Busch Stadium III,http://www.andrewclem.com/Baseball/BuschStadium_III.html,http://www.andrewclem.com/Baseball/Diag/BuschStadium_III.gif
Camden Yards,http://www.andrewclem.com/Baseball/CamdenYards.html,http://www.andrewclem.com/Baseball/Diag/CamdenYards.gif
Chase Field,http://www.andrewclem.com/Baseball/ChaseField.html,http://www.andrewclem.com/Baseball/Diag/ChaseField.gif
Citi Field,http://www.andrewclem.com/Baseball/CitiField.html,http://www.andrewclem.com/Baseball/Diag/CitiField.gif
Citizens Bank Park,http://www.andrewclem.com/Baseball/CitizensBankPark.html,http://www.andrewclem.com/Baseball/Diag/CitizensBankPark.gif
Comerica Park,http://www.andrewclem.com/Baseball/ComericaPark.html,http://www.andrewclem.com/Baseball/Diag/ComericaPark.gif
Coors Field,http://www.andrewclem.com/Baseball/CoorsField.html,http://www.andrewclem.com/Baseball/Diag/CoorsField1995.gif
Daikin Park (ex-Minute Maid Park),http://www.andrewclem.com/Baseball/MinuteMaidPark.html,http://www.andrewclem.com/Baseball/Diag/MinuteMaidPark.gif
Dodger Stadium,http://www.andrewclem.com/Baseball/DodgerStadium.html,http://www.andrewclem.com/Baseball/Diag/DodgerStadium.gif
Fenway Park,http://www.andrewclem.com/Baseball/FenwayPark.html,http://www.andrewclem.com/Baseball/Diag/FenwayPark.gif
George M. Steinbrenner Field,http://www.andrewclem.com/Baseball/GeorgeMSteinbrennerField.html,http://www.andrewclem.com/Baseball/Diag/GeorgeMSteinbrennerField.png
Globe Life Field,http://www.andrewclem.com/Baseball/GlobeLifeField.html,http://www.andrewclem.com/Baseball/Diag/GlobeLifeField.gif
Great American Ballpark,http://www.andrewclem.com/Baseball/GreatAmericanBallpark.html,http://www.andrewclem.com/Baseball/Diag/GreatAmericanBallpark.gif
Kauffman Stadium,http://www.andrewclem.com/Baseball/KauffmanStadium.html,http://www.andrewclem.com/Baseball/Diag/KauffmanStadium.gif
LoanDepot Park (ex-Marlins Park),http://www.andrewclem.com/Baseball/MarlinsPark.html,http://www.andrewclem.com/Baseball/Diag/MarlinsPark.gif
